Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
BJ_01,Untreated,Untreated rep 1,21403,AHZ0352,1,1,2267
BJ_01,Untreated,Untreated rep 1,21403,AP2001a,0,0,554
BJ_01,Untreated,Untreated rep 1,21403,AP2001a,1,0,855
BJ_01,Untreated,Untreated rep 1,21403,AP2014b,0,0,629
BJ_01,Untreated,Untreated rep 1,21403,AP2014b,1,0,703
BJ_01,Untreated,Untreated rep 1,21403,AP3213a,0,1,729
BJ_01,Untreated,Untreated rep 1,21403,AP3213a,1,0,852
BJ_01,Untreated,Untreated rep 1,21403,AP7003a,0,0,2027
BJ_01,Untreated,Untreated rep 1,21403,AP7003a,1,0,1747
BJ_01,Untreated,Untreated rep 1,21403,AP7007a,0,0,1547
BJ_01,Untreated,Untreated rep 1,21403,AP7007a,1,0,1466
BJ_01,Untreated,Untreated rep 1,21403,AP7034b,0,0,502
BJ_01,Untreated,Untreated rep 1,21403,AP7034b,1,0,485
BJ_01,Untreated,Untreated rep 1,21403,AP7035a,0,0,3671
BJ_01,Untreated,Untreated rep 1,21403,AP7035a,1,0,3405
BJ_01,Untreated,Untreated rep 1,21403,AP7214a,0,0,3117
BJ_01,Untreated,Untreated rep 1,21403,AP7214a,1,0,2160
BJ_01,Untreated,Untreated rep 1,21403,AP7217b,0,0,4266
BJ_01,Untreated,Untreated rep 1,21403,AP7217b,1,0,3420
BJ_01,Untreated,Untreated rep 1,21403,AP7218a,0,0,2454
BJ_01,Untreated,Untreated rep 1,21403,AP7218a,1,0,1928
BJ_01,Untreated,Untreated rep 1,21403,AP7219a,0,0,1749
BJ_01,Untreated,Untreated rep 1,21403,AP7219a,1,0,1951
BJ_01,Untreated,Untreated rep 1,21403,AP7400a,0,0,1652
BJ_01,Untreated,Untreated rep 1,21403,AP7400a,1,0,1499
BJ_01,Untreated,Untreated rep 1,21403,AP7402a,0,0,2241
BJ_01,Untreated,Untreated rep 1,21403,AP7402a,1,0,1601
BJ_01,Untreated,Untreated rep 1,21403,AP7403a,0,0,2307
BJ_01,Untreated,Untreated rep 1,21403,AP7403a,1,0,2907
BJ_01,Untreated,Untreated rep 1,21403,AP7406a,0,0,2670
BJ_01,Untreated,Untreated rep 1,21403,AP7406a,1,0,3673
BJ_01,Untreated,Untreated rep 1,21403,AP7408c,0,1,1283
BJ_01,Untreated,Untreated rep 1,21403,AP7408c,1,0,1630
BJ_01,Untreated,Untreated rep 1,21403,AP7500a,0,0,1446
BJ_01,Untreated,Untreated rep 1,21403,AP7500a,1,0,1136
BJ_01,Untreated,Untreated rep 1,21403,AP7501a,0,0,2490
BJ_01,Untreated,Untreated rep 1,21403,AP7501a,1,0,2251
BJ_01,Untreated,Untreated rep 1,21403,AP7502a,0,0,1278
BJ_01,Untreated,Untreated rep 1,21403,AP7502a,1,0,1250
BJ_01,Untreated,Untreated rep 1,21403,AP7503a,0,0,1265
BJ_01,Untreated,Untreated rep 1,21403,AP7503a,1,0,1789
BJ_01,Untreated,Untreated rep 1,21403,AP7512a,0,0,2143
BJ_01,Untreated,Untreated rep 1,21403,AP7512a,1,0,1630
BJ_01,Untreated,Untreated rep 1,21403,AP7514a,0,0,3786
BJ_01,Untreated,Untreated rep 1,21403,AP7514a,1,1,3390
BJ_01,Untreated,Untreated rep 1,21403,AP7518b,0,0,4192
BJ_01,Untreated,Untreated rep 1,21403,AP7518b,1,0,3879
BJ_01,Untreated,Untreated rep 1,21403,AP7524a,0,0,408
BJ_01,Untreated,Untreated rep 1,21403,AP7524a,1,0,433
BJ_01,Untreated,Untreated rep 1,21403,AP7529a,0,0,1605
BJ_01,Untreated,Untreated rep 1,21403,AP7529a,1,0,2048
